Coverage,Length,Time,DGP,Method,Algorithm
0.89,3.0573222022062327,0.009217486924047037,Linear,LOO-StabCP,RLM
0.85,2.899458549957649,0.9856023265571772,Linear,OracleCP,RLM
0.84,2.8967177899965213,57.12200665141498,Linear,FullCP,RLM
0.86,3.043484071519863,0.005294239451796939,Linear,SplitCP,RLM
0.86,3.0541000617411527,0.9661256989609904,Linear,RO-StabCP,RLM
0.86,3.0540183598367294,0.009415645708035866,Linear,LOO-StabCP,RLM
0.87,3.2824275757202654,0.9520399352259976,Linear,OracleCP,RLM
0.86,3.3623078444892123,49.46448125943965,Linear,FullCP,RLM
0.89,3.628701071454184,0.004300944228829088,Linear,SplitCP,RLM
0.87,3.508571385963776,0.9359280234009535,Linear,RO-StabCP,RLM
0.87,3.508419798735019,0.008654879025419565,Linear,LOO-StabCP,RLM
0.92,3.2480740462957702,1.025003129709088,Linear,OracleCP,RLM
0.91,3.478350240896416,53.787335791066134,Linear,FullCP,RLM
0.79,2.7367488720681634,0.004519020796154803,Linear,SplitCP,RLM
0.92,3.5970528536613826,1.0297017811186857,Linear,RO-StabCP,RLM
0.92,3.5968248933502456,0.013780048920984798,Linear,LOO-StabCP,RLM
0.86,2.78959858526639,0.9850349939750606,Linear,OracleCP,RLM
0.86,2.7780101496809912,55.64132345547524,Linear,FullCP,RLM
0.86,2.810837836792567,0.010067652029547501,Linear,SplitCP,RLM
0.87,2.881254254830939,1.039761651316604,Linear,RO-StabCP,RLM
0.87,2.8811844094569405,0.009879591098506208,Linear,LOO-StabCP,RLM
0.92,3.5149177553979714,0.9873530533920631,Linear,OracleCP,RLM
0.91,3.554297562532847,56.64702977348329,Linear,FullCP,RLM
0.89,3.371144862751637,0.004525135092434964,Linear,SplitCP,RLM
0.94,3.6813946578020773,0.9745458260655929,Linear,RO-StabCP,RLM
0.94,3.68153450408581,0.012150033117205715,Linear,LOO-StabCP,RLM
0.88,3.283004487537875,0.9832454506228809,Linear,OracleCP,RLM
0.88,3.4184495625327567,54.45166010356097,Linear,FullCP,RLM
0.93,3.7661976147464165,0.004355417050234151,Linear,SplitCP,RLM
0.88,3.5510635823491663,1.0485408543663868,Linear,RO-StabCP,RLM
0.88,3.551477337632207,0.009285485309950638,Linear,LOO-StabCP,RLM
0.96,3.5801957489620393,0.9068867836055414,Linear,OracleCP,RLM
0.95,3.639984157022054,46.84711860920564,Linear,FullCP,RLM
0.96,4.177256764144987,0.007813236878370232,Linear,SplitCP,RLM
0.96,3.7824728074459784,0.9131640351456533,Linear,RO-StabCP,RLM
0.96,3.782271701544123,0.008890001509647544,Linear,LOO-StabCP,RLM
0.87,3.1015141856823756,0.9583719375100727,Linear,OracleCP,RLM
0.86,3.023247023875437,54.748427571371494,Linear,FullCP,RLM
0.73,2.3967346461325696,0.005005477913838462,Linear,SplitCP,RLM
0.87,3.202285120988943,0.9602879356262283,Linear,RO-StabCP,RLM
0.87,3.2020831055961683,0.01123529733735265,Linear,LOO-StabCP,RLM
0.86,3.1706368519916364,0.9145488306122568,Linear,OracleCP,RLM
0.86,3.128255727446757,49.46845823860648,Linear,FullCP,RLM
0.71,2.430963070467345,0.004301870637356385,Linear,SplitCP,RLM
0.87,3.280577993440636,0.9145698600858264,Linear,RO-StabCP,RLM
0.87,3.2797884413371294,0.009217857487457955,Linear,LOO-StabCP,RLM
0.95,3.553349647271073,0.9810601455478399,Linear,OracleCP,RLM
0.95,3.559130347204219,53.03397185370976,Linear,FullCP,RLM
0.99,4.644387586181182,0.005200950113098131,Linear,SplitCP,RLM
0.95,3.672039885035514,0.9776481829418051,Linear,RO-StabCP,RLM
0.95,3.671505171271292,0.009218228050868874,Linear,LOO-StabCP,RLM
0.85,2.9522130245649065,1.0336778338769919,Linear,OracleCP,RLM
0.85,3.0650506749224933,66.0772836470227,Linear,FullCP,RLM
0.93,3.8620092383730165,0.004759145886430187,Linear,SplitCP,RLM
0.85,3.1888320425660885,1.0458040582950459,Linear,RO-StabCP,RLM
0.85,3.1882958393761216,0.012924788568584202,Linear,LOO-StabCP,RLM
0.88,3.4401249723398637,0.9661116175513754,Linear,OracleCP,RLM
0.88,3.427479870969658,48.942107190511834,Linear,FullCP,RLM
0.88,3.347183041483198,0.004439349662807261,Linear,SplitCP,RLM
0.89,3.60947428091226,0.9940731282082229,Linear,RO-StabCP,RLM
0.89,3.6090669869141885,0.011663575999522056,Linear,LOO-StabCP,RLM
0.86,3.18918635067462,0.9988000350779032,Linear,OracleCP,RLM
0.85,3.2394145461951855,58.64224091396976,Linear,FullCP,RLM
0.86,3.3286688325261258,0.007145666893600009,Linear,SplitCP,RLM
0.86,3.3909229509481587,0.9856643032876534,Linear,RO-StabCP,RLM
0.86,3.3911126609327,0.009189138823111748,Linear,LOO-StabCP,RLM
0.94,3.579044485441085,0.9273768094897384,Linear,OracleCP,RLM
0.94,3.6759315436978865,42.877231562853034,Linear,FullCP,RLM
0.96,3.892856624383867,0.004346894091783019,Linear,SplitCP,RLM
0.95,3.7616986766494107,0.9190888808819813,Linear,RO-StabCP,RLM
0.95,3.762171289620988,0.00995296265386813,Linear,LOO-StabCP,RLM
0.97,3.374055287571684,1.0147326868529152,Linear,OracleCP,RLM
0.97,3.3638381889270565,54.677974388152265,Linear,FullCP,RLM
0.98,3.5185764081211626,0.004084164633441588,Linear,SplitCP,RLM
0.98,3.49230235325186,1.015398681943189,Linear,RO-StabCP,RLM
0.98,3.492182405744506,0.012192369986903187,Linear,LOO-StabCP,RLM
0.9,3.372704600315976,0.9988508949060517,Linear,OracleCP,RLM
0.9,3.3498849553750563,58.56313377813363,Linear,FullCP,RLM
0.93,3.5764004692682274,0.004293255038052522,Linear,SplitCP,RLM
0.9,3.459102598854276,0.9627452342448836,Linear,RO-StabCP,RLM
0.9,3.4578687894875473,0.009289005662354365,Linear,LOO-StabCP,RLM
0.87,2.9021917699621382,0.9998138039293243,Linear,OracleCP,RLM
0.84,2.858037984837821,53.89508960930589,Linear,FullCP,RLM
0.8,2.739746339466544,0.004329848174880754,Linear,SplitCP,RLM
0.87,3.0039042094946864,0.995517028538868,Linear,RO-StabCP,RLM
0.87,3.004130865790288,0.013187888590336552,Linear,LOO-StabCP,RLM
0.91,3.360933749305172,0.9537437857894022,Linear,OracleCP,RLM
0.91,3.3274445583909635,53.96577170807222,Linear,FullCP,RLM
0.91,3.3880514288660346,0.004585351646709269,Linear,SplitCP,RLM
0.92,3.462590084085738,0.9245197655915545,Linear,RO-StabCP,RLM
0.92,3.462374183721941,0.009159586391090973,Linear,LOO-StabCP,RLM
0.94,3.5308563877271903,1.1124623016230584,Linear,OracleCP,RLM
0.93,3.537820504492593,66.79753348213426,Linear,FullCP,RLM
0.94,3.609534024411565,0.004516426852278372,Linear,SplitCP,RLM
0.94,3.680093356789019,1.1539120425147922,Linear,RO-StabCP,RLM
0.94,3.6804397048801776,0.013113683267300062,Linear,LOO-StabCP,RLM
0.84,2.915476075822696,0.9770229498267323,Linear,OracleCP,RLM
0.84,2.941759745940705,54.72055879420823,Linear,FullCP,RLM
0.73,2.436865373635975,0.004606473761131641,Linear,SplitCP,RLM
0.84,3.0834084468930674,1.0144262309120855,Linear,RO-StabCP,RLM
0.84,3.0829117884009447,0.009341069821588457,Linear,LOO-StabCP,RLM
0.88,2.906464458662321,0.9810573663222582,Linear,OracleCP,RLM
0.88,2.9018032272955123,47.438105272890645,Linear,FullCP,RLM
0.86,2.815415793207136,0.00502761907764086,Linear,SplitCP,RLM
0.9,3.0410042121201424,0.9699680709688074,Linear,RO-StabCP,RLM
0.9,3.0410593414708864,0.012893383319508834,Linear,LOO-StabCP,RLM
0.86,3.230575820802486,0.9948879045079806,Linear,OracleCP,RLM
0.86,3.1702273148453632,60.19213609098385,Linear,FullCP,RLM
0.92,3.835430297784658,0.0050317879160136966,Linear,SplitCP,RLM
0.86,3.3578181227833683,0.9812276402095753,Linear,RO-StabCP,RLM
0.86,3.358118564371532,0.009322819573600706,Linear,LOO-StabCP,RLM
0.77,2.91123733918281,0.9502054610602441,Linear,OracleCP,RLM
0.77,2.880693598616925,57.281004757342174,Linear,FullCP,RLM
0.77,2.8924933940843176,0.00530322561451172,Linear,SplitCP,RLM
0.78,3.0133957321355958,0.9461162011799024,Linear,RO-StabCP,RLM
0.78,3.0127961564245522,0.021413747826764872,Linear,LOO-StabCP,RLM
0.95,3.6717998554557716,1.0447380400026853,Linear,OracleCP,RLM
0.92,3.927234159360778,63.29382678682409,Linear,FullCP,RLM
0.9,3.642133623703147,0.004975462277554039,Linear,SplitCP,RLM
0.95,4.110706517081691,1.0493276531286202,Linear,RO-StabCP,RLM
0.95,4.110579430641876,0.013179643554443609,Linear,LOO-StabCP,RLM
0.83,3.0043023225154504,0.910691265504592,Linear,OracleCP,RLM
0.82,2.9559118797629433,60.742136495963344,Linear,FullCP,RLM
0.83,3.012232969228894,0.0049705523123593645,Linear,SplitCP,RLM
0.85,3.0910347229588226,0.9257479980170449,Linear,RO-StabCP,RLM
0.85,3.091180125647939,0.008663494624723427,Linear,LOO-StabCP,RLM
0.94,3.29137016910242,0.9736167309535667,Linear,OracleCP,RLM
0.94,3.545668768587305,50.72803273211066,Linear,FullCP,RLM
0.96,3.826666239819779,0.004407944413731892,Linear,SplitCP,RLM
0.95,3.653815849458897,0.9895094545210523,Linear,RO-StabCP,RLM
0.95,3.6540312099912238,0.00922573195993998,Linear,LOO-StabCP,RLM
0.94,3.4989052280703152,0.995438191173195,Linear,OracleCP,RLM
0.94,3.453013802244708,54.88429881482325,Linear,FullCP,RLM
0.94,3.5288965390191698,0.007872341742411781,Linear,SplitCP,RLM
0.95,3.6031177632844447,0.9775990832898583,Linear,RO-StabCP,RLM
0.95,3.603406855510026,0.009252412525526135,Linear,LOO-StabCP,RLM
0.84,3.2440915556501566,1.0112391076556255,Linear,OracleCP,RLM
0.83,3.326629664895098,52.02987637484897,Linear,FullCP,RLM
0.75,2.487343247394022,0.004348283704573965,Linear,SplitCP,RLM
0.84,3.4640159756854616,0.9740574234900019,Linear,RO-StabCP,RLM
0.84,3.463838048368042,0.012988432834409506,Linear,LOO-StabCP,RLM
0.87,3.311101313514971,0.9845024017127175,Linear,OracleCP,RLM
0.87,3.296625264626577,53.08036880141896,Linear,FullCP,RLM
0.87,3.312372037491697,0.00816990416137958,Linear,SplitCP,RLM
0.9,3.43200130974933,0.9863422490479293,Linear,RO-StabCP,RLM
0.9,3.4316867384547027,0.009419258701292324,Linear,LOO-StabCP,RLM
0.83,2.690956529200044,1.0026456495155658,Linear,OracleCP,RLM
0.81,2.6662648998286573,66.24674803856873,Linear,FullCP,RLM
0.91,3.2400549225625164,0.006942505503563775,Linear,SplitCP,RLM
0.85,2.839120829380248,0.9882127605053947,Linear,RO-StabCP,RLM
0.84,2.838700229687355,0.010144358655607692,Linear,LOO-StabCP,RLM
0.9,2.917148873373755,0.9194483273905725,Linear,OracleCP,RLM
0.88,2.8636383871128537,51.50424236695445,Linear,FullCP,RLM
0.91,3.2252231568051926,0.004342632612557453,Linear,SplitCP,RLM
0.9,3.0131364402482617,0.913045176931601,Linear,RO-StabCP,RLM
0.9,3.0137917646390515,0.012609253824186841,Linear,LOO-StabCP,RLM
0.91,3.0624209780643157,1.065760843430931,Linear,OracleCP,RLM
0.89,3.2331748120646755,50.195270103239444,Linear,FullCP,RLM
0.92,3.3921981046444794,0.004307614370225626,Linear,SplitCP,RLM
0.91,3.3688483302522725,0.9211047458373796,Linear,RO-StabCP,RLM
0.91,3.3683847267273497,0.008694899873798794,Linear,LOO-StabCP,RLM
0.86,2.973832026326225,0.9909125928764964,Linear,OracleCP,RLM
0.86,3.076392313618945,56.39229346055623,Linear,FullCP,RLM
0.86,3.1747773784453464,0.004669747463546026,Linear,SplitCP,RLM
0.86,3.1933048582005705,0.9810293887847338,Linear,RO-StabCP,RLM
0.86,3.1927884979102132,0.012536160191383107,Linear,LOO-StabCP,RLM
0.84,2.8266453767514124,0.9910928719759083,Linear,OracleCP,RLM
0.83,2.8253104080890803,54.697834641519606,Linear,FullCP,RLM
0.77,2.496695335793776,0.01012666425273632,Linear,SplitCP,RLM
0.85,2.949732036648774,1.0016750513015167,Linear,RO-StabCP,RLM
0.85,2.9495105141611693,0.013125726578154922,Linear,LOO-StabCP,RLM
0.9,2.827201412501127,0.980062774127352,Linear,OracleCP,RLM
0.9,2.820920772389974,57.49543803785259,Linear,FullCP,RLM
0.9,2.9649996495947653,0.0044436111420328266,Linear,SplitCP,RLM
0.9,2.955531952306468,0.9870152848430106,Linear,RO-StabCP,RLM
0.9,2.955177165570964,0.009195716323655557,Linear,LOO-StabCP,RLM
0.87,3.178074137201451,0.9745404528961346,Linear,OracleCP,RLM
0.87,3.167997676833866,45.77180139861137,Linear,FullCP,RLM
0.93,3.5515081654973244,0.004094725690652773,Linear,SplitCP,RLM
0.89,3.2721354307800685,0.9872880195134468,Linear,RO-StabCP,RLM
0.89,3.271956907478514,0.00982641524903936,Linear,LOO-StabCP,RLM
0.88,2.980598630352249,1.0458765034418807,Linear,OracleCP,RLM
0.87,3.0264293195853487,55.2767199085351,Linear,FullCP,RLM
0.74,2.4226662698203394,0.007880030933188347,Linear,SplitCP,RLM
0.89,3.1423783386399275,1.0184904777621901,Linear,RO-StabCP,RLM
0.89,3.1422567249391085,0.01011397245591235,Linear,LOO-StabCP,RLM
0.92,3.349148590883291,1.0492503906574435,Linear,OracleCP,RLM
0.92,3.3875438521634553,50.922118005164116,Linear,FullCP,RLM
0.95,3.574641590808563,0.004546627770268254,Linear,SplitCP,RLM
0.94,3.5286796584990365,0.9942208903683267,Linear,RO-StabCP,RLM
0.94,3.5286468283780525,0.00930614422010936,Linear,LOO-StabCP,RLM
0.96,3.1568627244800354,0.9328796761418827,Linear,OracleCP,RLM
0.95,3.28771812534063,50.995361623508416,Linear,FullCP,RLM
0.97,3.718217648992424,0.004808801383493307,Linear,SplitCP,RLM
0.97,3.438104605711212,0.9588672881496183,Linear,RO-StabCP,RLM
0.97,3.437806533956682,0.008604019197270957,Linear,LOO-StabCP,RLM
0.88,2.9029851630308046,1.0441065999504797,Linear,OracleCP,RLM
0.88,2.8674615258073697,61.42235844199086,Linear,FullCP,RLM
0.93,3.620919122550756,0.007212831511829042,Linear,SplitCP,RLM
0.88,3.023237696615359,1.0528608826108783,Linear,RO-StabCP,RLM
0.88,3.0231527605427235,0.014558602647325204,Linear,LOO-StabCP,RLM
0.86,2.9168192350317215,0.9885504364135945,Linear,OracleCP,RLM
0.86,2.9404605100824135,56.927242969396985,Linear,FullCP,RLM
0.89,3.1102284405320635,0.008444306367164953,Linear,SplitCP,RLM
0.88,3.0608083752287802,0.9851117006011207,Linear,RO-StabCP,RLM
0.88,3.0606896689779375,0.012766650632974602,Linear,LOO-StabCP,RLM
0.83,2.5999084605923515,0.998608824357869,Linear,OracleCP,RLM
0.83,2.9276294449563314,66.03771155093409,Linear,FullCP,RLM
0.78,2.3667770680200246,0.004494100406770514,Linear,SplitCP,RLM
0.83,3.0776463581637525,0.9735693914778218,Linear,RO-StabCP,RLM
0.83,3.0772595520603767,0.00938349933213866,Linear,LOO-StabCP,RLM
0.92,3.1468113570160763,1.0409592196198407,Linear,OracleCP,RLM
0.9,3.09206727988937,71.64564126775053,Linear,FullCP,RLM
0.92,3.351812471359338,0.0045194840004184516,Linear,SplitCP,RLM
0.92,3.28384651706255,1.1475659588211022,Linear,RO-StabCP,RLM
0.92,3.2836058208142007,0.009990296917518201,Linear,LOO-StabCP,RLM
0.93,3.2266820153315208,1.009941672513146,Linear,OracleCP,RLM
0.92,3.200359106036915,55.18935170993851,Linear,FullCP,RLM
0.98,4.240342745517962,0.004318175427436812,Linear,SplitCP,RLM
0.94,3.318090961047967,1.0346042424042887,Linear,RO-StabCP,RLM
0.94,3.3174231891634367,0.014432425805907352,Linear,LOO-StabCP,RLM
0.88,2.824489582844535,0.9566311232464288,Linear,OracleCP,RLM
0.87,2.9493278591678194,53.47465725679928,Linear,FullCP,RLM
0.82,2.465623837781784,0.0042916801435561175,Linear,SplitCP,RLM
0.89,3.061974060958815,0.9728416049387774,Linear,RO-StabCP,RLM
0.89,3.0622366020767804,0.00869017519030958,Linear,LOO-StabCP,RLM
0.92,2.9800953218267874,0.9834210050388037,Linear,OracleCP,RLM
0.9,3.140069649015393,51.50040175512283,Linear,FullCP,RLM
0.76,2.4020100681427428,0.00543329337174422,Linear,SplitCP,RLM
0.92,3.2700995691077956,0.9717959676340172,Linear,RO-StabCP,RLM
0.92,3.270064763809064,0.014082428664294542,Linear,LOO-StabCP,RLM
0.83,2.7083249302315577,0.9190857310929884,Linear,OracleCP,RLM
0.83,2.7200212688141763,47.47035179354965,Linear,FullCP,RLM
0.82,2.702133654476634,0.004277691374793933,Linear,SplitCP,RLM
0.85,2.839880680779186,0.9256624905099753,Linear,RO-StabCP,RLM
0.85,2.840038651943016,0.008702589064575359,Linear,LOO-StabCP,RLM
0.88,3.319855814104778,0.9777903866507452,Linear,OracleCP,RLM
0.87,3.3049444755903643,61.91612807274389,Linear,FullCP,RLM
0.8,2.879463765205396,0.004526802627784098,Linear,SplitCP,RLM
0.88,3.5083750005027894,0.9770793681060448,Linear,RO-StabCP,RLM
0.88,3.5079169397307273,0.009294934676929066,Linear,LOO-StabCP,RLM
0.96,3.6183556557718197,0.9225494799356992,Linear,OracleCP,RLM
0.94,3.5894452484137873,47.97066798280168,Linear,FullCP,RLM
0.94,3.5482425545262366,0.004331700991935348,Linear,SplitCP,RLM
0.97,3.7440346561975013,0.9533788734705,Linear,RO-StabCP,RLM
0.97,3.743771007465012,0.008839790167468047,Linear,LOO-StabCP,RLM
0.87,3.2790326487372674,1.0176768131526652,Linear,OracleCP,RLM
0.87,3.374836539760249,48.84738256708168,Linear,FullCP,RLM
0.87,3.274654200805926,0.004560153334766791,Linear,SplitCP,RLM
0.88,3.4693676049082196,0.9912889926611371,Linear,RO-StabCP,RLM
0.88,3.4690126774419796,0.012354398838327434,Linear,LOO-StabCP,RLM
0.95,3.7178920482190883,1.1334707457191309,Linear,OracleCP,RLM
0.95,3.674807626502925,59.22379349641704,Linear,FullCP,RLM
0.95,3.7357082106765467,0.00494720681747148,Linear,SplitCP,RLM
0.95,3.8184099351899654,1.1206276663826542,Linear,RO-StabCP,RLM
0.95,3.818226482562445,0.015963037974707467,Linear,LOO-StabCP,RLM
0.94,3.35043554926629,0.9876745171510352,Linear,OracleCP,RLM
0.93,3.362799022085647,58.30153444555465,Linear,FullCP,RLM
0.98,4.450240807354384,0.004318916554258649,Linear,SplitCP,RLM
0.95,3.4773703629863353,0.9993770023087037,Linear,RO-StabCP,RLM
0.95,3.476961877317334,0.01413588243631958,Linear,LOO-StabCP,RLM
0.95,3.2409579265006876,1.0440894613927247,Linear,OracleCP,RLM
0.95,3.316078137756138,60.40059857589499,Linear,FullCP,RLM
0.97,3.8944434041204725,0.004545794002593686,Linear,SplitCP,RLM
0.97,3.4296450690562104,1.041245665136481,Linear,RO-StabCP,RLM
0.97,3.4299321374625666,0.015053675364312725,Linear,LOO-StabCP,RLM
0.86,3.04925348938179,0.9774437245798306,Linear,OracleCP,RLM
0.83,3.0108110549022795,55.710024151683385,Linear,FullCP,RLM
0.88,3.328845971838097,0.00442109941481951,Linear,SplitCP,RLM
0.86,3.156308675841851,0.9657492065354969,Linear,RO-StabCP,RLM
0.86,3.1559307235923506,0.015818055040185488,Linear,LOO-StabCP,RLM
0.9,3.0344929227697253,1.0383569380666635,Linear,OracleCP,RLM
0.89,3.073075185377267,62.74422631240584,Linear,FullCP,RLM
0.93,3.5399922417330187,0.004331700991935348,Linear,SplitCP,RLM
0.9,3.1820965783912123,1.0317692470290545,Linear,RO-StabCP,RLM
0.9,3.1820874201667766,0.009189972590786315,Linear,LOO-StabCP,RLM
0.91,3.3182466018731946,1.0528837649015024,Linear,OracleCP,RLM
0.9,3.35363992023774,48.81318095386667,Linear,FullCP,RLM
0.86,3.2130572091111325,0.007477876991488715,Linear,SplitCP,RLM
0.91,3.489141990318304,1.0488695441118718,Linear,RO-StabCP,RLM
0.91,3.4887399765975635,0.009755637637553868,Linear,LOO-StabCP,RLM
0.96,3.652635882563936,0.9837038375621875,Linear,OracleCP,RLM
0.96,3.6591965669697397,59.086464271225026,Linear,FullCP,RLM
0.98,4.474277826912736,0.004559782771355872,Linear,SplitCP,RLM
0.96,3.7930666261904986,0.9766635033181411,Linear,RO-StabCP,RLM
0.96,3.7935992917097208,0.012994361848984207,Linear,LOO-StabCP,RLM
0.94,3.8641517349247203,1.2028057538459154,Linear,OracleCP,RLM
0.93,3.8045301322468372,74.04423152521399,Linear,FullCP,RLM
0.91,3.416619789639037,0.005238562299306389,Linear,SplitCP,RLM
0.95,3.997697688631624,1.1239681102503818,Linear,RO-StabCP,RLM
0.95,3.9983433311623053,0.01057865897320453,Linear,LOO-StabCP,RLM
0.99,3.4670831524760373,1.0852504407464998,Linear,OracleCP,RLM
0.99,3.3735226509357776,60.385984296095174,Linear,FullCP,RLM
0.99,3.9407319232247717,0.004301407433092736,Linear,SplitCP,RLM
0.99,3.5541141377163825,1.1199199829086521,Linear,RO-StabCP,RLM
0.99,3.554082514194336,0.02225918824877612,Linear,LOO-StabCP,RLM
0.95,3.3780942412261226,0.9082502716760171,Linear,OracleCP,RLM
