Coverage,Length,Time,DGP,Method,Algorithm,LogTime
0.93,3.3923105715284367,0.05039095878601074,Linear,LOO-StabCP,RLM,-1.2976473782683156
0.93,3.2615862377683738,3.8655569553375244,Linear,OracleCP,RLM,0.5872120765734918
0.9,3.646394225609309,213.80555605888367,Linear,FullCP,RLM,2.3300189868145824
0.79,2.5767364958802648,0.015960216522216797,Linear,SplitCP,RLM,-1.7969612211453077
0.93,3.7902430820145145,3.938826084136963,Linear,RO-StabCP,RLM,0.5953668052907086
0.93,3.7909451784652517,0.04041600227355957,Linear,LOO-StabCP,RLM,-1.3934466466939848
0.92,3.4811201614181493,4.05889892578125,Linear,OracleCP,RLM,0.6084082367023538
0.91,3.479736318786156,266.246808052063,Linear,FullCP,RLM,2.425284409860183
0.8,2.5503495602954116,0.017660856246948242,Linear,SplitCP,RLM,-1.7529882444554976
0.93,3.6272488315201725,5.254299879074097,Linear,RO-StabCP,RLM,0.720514855680841
0.93,3.627085010710678,0.044450998306274414,Linear,LOO-StabCP,RLM,-1.3521184809471392
0.87,3.105219893120631,4.209064245223999,Linear,OracleCP,RLM,0.6241855546701733
0.86,3.021389716240311,240.95923399925232,Linear,FullCP,RLM,2.3819435739162462
0.87,3.0498133106601144,0.013632059097290039,Linear,SplitCP,RLM,-1.8654385398329996
0.88,3.201771545962336,3.7293570041656494,Linear,RO-StabCP,RLM,0.5716339595259209
0.88,3.2010944758656352,0.06218290328979492,Linear,LOO-StabCP,RLM,-1.2063290048193334
0.92,3.6854592829512827,3.999635934829712,Linear,OracleCP,RLM,0.6020204616553857
0.9,3.6977703437303306,214.23865008354187,Linear,FullCP,RLM,2.3308978231896114
0.93,3.9680127610081923,0.03767132759094238,Linear,SplitCP,RLM,-1.4239890743743566
0.92,3.840859756661093,4.014178037643433,Linear,RO-StabCP,RLM,0.6035966304961143
0.92,3.840491538742965,0.04368901252746582,Linear,LOO-StabCP,RLM,-1.3596277712373104
0.92,3.10117403696936,3.6883740425109863,Linear,OracleCP,RLM,0.5668349569481286
0.91,3.2575327681416604,198.59864902496338,Linear,FullCP,RLM,2.297976289864301
0.88,2.9656538931876755,0.02236199378967285,Linear,SplitCP,RLM,-1.6504894774738745
0.94,3.42957070774146,3.7753751277923584,Linear,RO-StabCP,RLM,0.5769601103588912
0.94,3.429603248331051,0.05527901649475098,Linear,LOO-StabCP,RLM,-1.2574396923831748
0.93,3.321950604791782,3.438561201095581,Linear,OracleCP,RLM,0.5363767585199959
0.92,3.4944629086199894,228.77653288841248,Linear,FullCP,RLM,2.359411473968179
0.99,4.385989737587185,0.023220062255859375,Linear,SplitCP,RLM,-1.6341366201986531
0.93,3.6653446835628403,3.635429859161377,Linear,RO-StabCP,RLM,0.5605557699197745
0.93,3.664615553556451,0.036515235900878906,Linear,LOO-StabCP,RLM,-1.4375258893229816
0.95,3.547300068514369,4.072954177856445,Linear,OracleCP,RLM,0.6099095241503146
0.95,3.5597446778844226,203.4120192527771,Linear,FullCP,RLM,2.3083766110298796
0.95,3.6108946449303776,0.029258012771606445,Linear,SplitCP,RLM,-1.5337551748489244
0.96,3.6719829661847876,4.107403755187988,Linear,RO-StabCP,RLM,0.6135673958245729
0.96,3.6710627469693753,0.05047607421875,Linear,LOO-StabCP,RLM,-1.29691442974319
0.94,3.064666228878734,3.854813814163208,Linear,OracleCP,RLM,0.5860034066582508
0.94,3.058612496491877,210.9677300453186,Linear,FullCP,RLM,2.3242160300131087
0.96,3.1571296112138794,0.01261591911315918,Linear,SplitCP,RLM,-1.8990811041450095
0.96,3.1523052118094137,3.6816608905792236,Linear,RO-StabCP,RLM,0.5660437841320092
0.96,3.152136182382408,0.04343914985656738,Linear,LOO-StabCP,RLM,-1.3621186828716612
0.95,3.6765156700685577,4.169550657272339,Linear,OracleCP,RLM,0.6200892545943809
0.94,3.612985705584951,236.57977867126465,Linear,FullCP,RLM,2.3739776211592365
0.96,4.7991747202704715,0.01184391975402832,Linear,SplitCP,RLM,-1.9265045437431196
0.95,3.8114919280748456,4.077265024185181,Linear,RO-StabCP,RLM,0.6103689417196043
0.95,3.8112506987789505,0.0507199764251709,Linear,LOO-StabCP,RLM,-1.294820956987928
0.89,2.992282755396285,3.837728977203369,Linear,OracleCP,RLM,0.5840743013371539
0.89,3.071049619467026,220.0513892173767,Linear,FullCP,RLM,2.342524114673726
0.98,4.65913084318801,0.03600001335144043,Linear,SplitCP,RLM,-1.4436973381644953
0.9,3.1688409290781423,3.58488392829895,Linear,RO-StabCP,RLM,0.5544750986048397
0.9,3.1690639743062987,0.04463791847229004,Linear,LOO-StabCP,RLM,-1.3502960653490468
0.93,3.510071960564825,3.7799441814422607,Linear,OracleCP,RLM,0.5774853866439443
0.92,3.4876234580278576,212.45638990402222,Linear,FullCP,RLM,2.3272697975969803
0.96,4.318707542282141,0.026992082595825195,Linear,SplitCP,RLM,-1.5687636058109582
0.94,3.652166902740396,4.124726057052612,Linear,RO-StabCP,RLM,0.6153951102529576
0.94,3.651646011646217,0.049139976501464844,Linear,LOO-StabCP,RLM,-1.3085650555337276
0.94,3.057671558604257,3.4623591899871826,Linear,OracleCP,RLM,0.5393721201937883
0.94,3.13086201292145,185.5029308795929,Linear,FullCP,RLM,2.268350775701894
0.94,3.5698517787676294,0.01976490020751953,Linear,SplitCP,RLM,-1.7041053740573127
0.94,3.2872956650794602,3.388232946395874,Linear,RO-StabCP,RLM,0.5299732611204521
0.94,3.287187511092772,0.03270125389099121,Linear,LOO-StabCP,RLM,-1.4854355945110276
0.87,2.9081969658329374,3.70662784576416,Linear,OracleCP,RLM,0.5689789840213322
0.85,3.0294910331775005,215.7051603794098,Linear,FullCP,RLM,2.3338605349842996
0.88,3.192681165739154,0.03137373924255371,Linear,SplitCP,RLM,-1.503433717335711
0.87,3.1712693462064983,3.7666850090026855,Linear,RO-StabCP,RLM,0.5759593036193119
0.87,3.1711170186415343,0.02828383445739746,Linear,LOO-StabCP,RLM,-1.548461713305056
0.93,3.6067736400231962,3.823868989944458,Linear,OracleCP,RLM,0.5825030044411803
0.92,3.531436491863118,211.83069610595703,Linear,FullCP,RLM,2.325988893370554
0.95,4.249219893873621,0.014384984970092773,Linear,SplitCP,RLM,-1.8420905875386313
0.93,3.7128009220172054,3.748244285583496,Linear,RO-StabCP,RLM,0.573827887558234
0.93,3.7119611141334787,0.05733799934387207,Linear,LOO-StabCP,RLM,-1.2415574646695289
0.88,3.2576359946404434,3.8540170192718506,Linear,OracleCP,RLM,0.5859136281605163
0.87,3.238406028120471,195.56947875022888,Linear,FullCP,RLM,2.291301078239775
0.89,3.3422363648470834,0.03971290588378906,Linear,SplitCP,RLM,-1.4010683334568557
0.91,3.393209875729438,3.549344062805176,Linear,RO-StabCP,RLM,0.5501481005972676
0.91,3.392879073059623,0.04739212989807129,Linear,LOO-StabCP,RLM,-1.3242937727905058
0.85,3.260724544193948,3.451862096786499,Linear,OracleCP,RLM,0.5380534371587656
0.85,3.214542337084051,205.51894283294678,Linear,FullCP,RLM,2.312851857300531
0.85,3.1442962372289798,0.027272939682006836,Linear,SplitCP,RLM,-1.5642680480185402
0.86,3.381449205864543,3.372323989868164,Linear,RO-StabCP,RLM,0.5279292920062739
0.86,3.3813422886679603,0.02584099769592285,Linear,LOO-StabCP,RLM,-1.5876907226634367
0.88,3.1368665365871866,3.542807102203369,Linear,OracleCP,RLM,0.5493475066291775
0.88,3.1784273290762637,177.8291277885437,Linear,FullCP,RLM,2.2500028983763887
0.8,2.801311784709083,0.01131892204284668,Linear,SplitCP,RLM,-1.9461949311985312
0.89,3.3194201888015136,3.5990562438964844,Linear,RO-StabCP,RLM,0.5561886336001249
0.89,3.31865134124231,0.02912116050720215,Linear,LOO-StabCP,RLM,-1.535791321947205
0.93,3.468201425046761,3.5142018795013428,Linear,OracleCP,RLM,0.5458267066854764
0.93,3.4671073972681974,188.3763508796692,Linear,FullCP,RLM,2.2750263797353356
0.91,3.205501683476263,0.014678955078125,Linear,SplitCP,RLM,-1.8333048585858862
0.93,3.586689111375417,3.509375810623169,Linear,RO-StabCP,RLM,0.5452298782583115
0.93,3.586573687484103,0.0448000431060791,Linear,LOO-StabCP,RLM,-1.3487215681285685
0.85,3.0550616685192074,3.559824228286743,Linear,OracleCP,RLM,0.5514285545544114
0.85,3.1427718724012226,170.38034391403198,Linear,FullCP,RLM,2.231419490535933
0.9,3.3841882207967444,0.02567887306213379,Linear,SplitCP,RLM,-1.590424039545394
0.86,3.256860854664427,3.676111936569214,Linear,RO-StabCP,RLM,0.5653887270596103
0.86,3.256341889578697,0.051576852798461914,Linear,LOO-StabCP,RLM,-1.2875451618871427
0.84,2.9331848807099594,3.656627893447876,Linear,OracleCP,RLM,0.5630807678183369
0.83,2.96753920819669,191.54375314712524,Linear,FullCP,RLM,2.2822679928214633
0.86,3.1892636159278016,0.014897346496582031,Linear,SplitCP,RLM,-1.826891080884269
0.85,3.091084428981317,3.6685640811920166,Linear,RO-StabCP,RLM,0.5644961095808956
0.85,3.0909066806508627,0.03705406188964844,Linear,LOO-StabCP,RLM,-1.4311641774398918
0.95,3.3541315307834156,3.537230968475342,Linear,OracleCP,RLM,0.5486634186101648
0.94,3.4740292114683324,223.7129669189453,Linear,FullCP,RLM,2.3496911575348767
0.95,3.519668152260308,0.014040231704711914,Linear,SplitCP,RLM,-1.8526257250233444
0.95,3.5836917125969645,3.54530668258667,Linear,RO-StabCP,RLM,0.5496538092776676
0.95,3.5839677831369428,0.02932000160217285,Linear,LOO-StabCP,RLM,-1.5328360102991632
0.93,3.2927159605855496,3.7513070106506348,Linear,OracleCP,RLM,0.5741826086922461
0.93,3.4130555906805156,201.45304608345032,Linear,FullCP,RLM,2.304173838551065
0.94,3.5430313866410827,0.024191856384277344,Linear,SplitCP,RLM,-1.6163308043742
0.94,3.543947087715668,4.317791938781738,Linear,RO-StabCP,RLM,0.6352617111765269
0.94,3.543901936284515,0.030457735061645508,Linear,LOO-StabCP,RLM,-1.5163023953795576
0.92,3.1596655350742613,3.461719036102295,Linear,OracleCP,RLM,0.539291816277082
0.92,3.1593610598985093,193.12964487075806,Linear,FullCP,RLM,2.2858489419079717
0.92,3.2813909081003163,0.0216219425201416,Linear,SplitCP,RLM,-1.6651052915167703
0.92,3.285178308321525,3.4597110748291016,Linear,RO-StabCP,RLM,0.5390398317850591
0.92,3.2849960251086907,0.038732051849365234,Linear,LOO-StabCP,RLM,-1.411929495442185
0.96,3.627919025142443,3.92761492729187,Linear,OracleCP,RLM,0.5941289019382163
0.96,3.5853921583497597,232.48495602607727,Linear,FullCP,RLM,2.3663948551776026
0.98,4.140975455700227,0.015563011169433594,Linear,SplitCP,RLM,-1.8079063708585976
0.96,3.7334355788332503,4.1053221225738525,Linear,RO-StabCP,RLM,0.6133472395474769
0.96,3.7335083093484305,0.04893803596496582,Linear,LOO-StabCP,RLM,-1.3103534642178531
0.96,3.098954508107747,4.056259870529175,Linear,OracleCP,RLM,0.6081257709607497
0.94,3.105456380107074,229.21776390075684,Linear,FullCP,RLM,2.3602482715201734
0.98,3.6557993896665173,0.029142141342163086,Linear,SplitCP,RLM,-1.5354785397685817
0.96,3.284492698466297,4.376124858856201,Linear,RO-StabCP,RLM,0.64108970471904
0.96,3.284121107854704,0.03970599174499512,Linear,LOO-StabCP,RLM,-1.401143952041917
0.9,3.089160653292649,3.6502866744995117,Linear,OracleCP,RLM,0.5623269730220298
0.9,3.181172052158969,221.1505000591278,Linear,FullCP,RLM,2.3446879257208804
0.9,3.082178016446392,0.01485896110534668,Linear,SplitCP,RLM,-1.8280115541008575
0.92,3.2784048410869486,3.729093074798584,Linear,RO-StabCP,RLM,0.5716032230950102
0.92,3.278017971550818,0.057058095932006836,Linear,LOO-StabCP,RLM,-1.2436827251433658
0.89,3.4743208370513896,3.292111873626709,Linear,OracleCP,RLM,0.517474585128691
0.89,3.416731129572264,178.00403809547424,Linear,FullCP,RLM,2.250429854571196
0.89,3.3077169836011895,0.021885156631469727,Linear,SplitCP,RLM,-1.6598503408059702
0.9,3.5659424510220923,3.2392489910125732,Linear,RO-StabCP,RLM,0.5104443321616683
0.9,3.5665405820494946,0.0404050350189209,Linear,LOO-StabCP,RLM,-1.393564512496256
0.92,4.008585214907091,4.177814960479736,Linear,OracleCP,RLM,0.6209492007418947
0.91,3.9780824473991196,237.87130880355835,Linear,FullCP,RLM,2.376342062130877
0.91,3.9684751365200306,0.016160011291503906,Linear,SplitCP,RLM,-1.791558340106227
0.93,4.099036262420767,4.252356767654419,Linear,RO-StabCP,RLM,0.6286296941682206
0.93,4.0985388409654,0.08236503601074219,Linear,LOO-StabCP,RLM,-1.0842571073574065
0.88,3.47600227878156,3.656262159347534,Linear,OracleCP,RLM,0.5630373277281379
0.88,3.4773384824672564,231.88716411590576,Linear,FullCP,RLM,2.365276709362797
0.94,4.155589944846328,0.04218316078186035,Linear,SplitCP,RLM,-1.3748608817162427
0.9,3.6187602486971815,3.844249725341797,Linear,RO-StabCP,RLM,0.5848115920077512
0.9,3.6192348262818506,0.04119515419006348,Linear,LOO-StabCP,RLM,-1.3851538672748316
0.91,3.6067078361763736,4.048514127731323,Linear,OracleCP,RLM,0.6072956591327734
0.9,3.6595971928175164,196.78830575942993,Linear,FullCP,RLM,2.2939992867017756
0.83,3.1724690903765147,0.02273702621459961,Linear,SplitCP,RLM,-1.6432663374954213
0.93,3.7780695098957167,3.6845061779022217,Linear,RO-StabCP,RLM,0.5663792890516708
0.93,3.7774469950002403,0.043977975845336914,Linear,LOO-StabCP,RLM,-1.356764763593484
0.86,3.033533858802705,3.683272123336792,Linear,OracleCP,RLM,0.5662338060929734
0.86,2.9692468720490606,215.82335114479065,Linear,FullCP,RLM,2.3340984316568463
0.82,2.741170244584555,0.017184019088745117,Linear,SplitCP,RLM,-1.7648752535473409
0.86,3.1259241949335705,3.767991065979004,Linear,RO-StabCP,RLM,0.5761098643966838
0.86,3.1259707158291086,0.056672096252441406,Linear,LOO-StabCP,RLM,-1.246630722879406
0.92,3.0592360418383904,4.0503830909729,Linear,OracleCP,RLM,0.6074961013448886
0.92,3.1906954034735504,214.8074221611023,Linear,FullCP,RLM,2.332049283302757
0.98,4.144393096734869,0.03149580955505371,Linear,SplitCP,RLM,-1.5017472242477778
0.92,3.355216512411307,3.83345890045166,Linear,RO-StabCP,RLM,0.583590811428764
0.92,3.3544498524859234,0.07740902900695801,Linear,LOO-StabCP,RLM,-1.1112083801542856
0.91,3.1563823322896996,3.7460389137268066,Linear,OracleCP,RLM,0.5735722844991875
0.9,3.206950130179577,214.02934193611145,Linear,FullCP,RLM,2.3304733161875575
0.87,2.9190599101788512,0.017106056213378906,Linear,SplitCP,RLM,-1.7668501051398113
0.91,3.3811330297690256,4.206562042236328,Linear,RO-StabCP,RLM,0.6239272986723305
0.91,3.3807651624980726,0.03919696807861328,Linear,LOO-StabCP,RLM,-1.4067475247563868
0.99,3.444544319683481,3.5374670028686523,Linear,OracleCP,RLM,0.5486923974966154
0.98,3.506583836242857,191.94655513763428,Linear,FullCP,RLM,2.2831803222458626
0.99,3.728773107485559,0.020702123641967773,Linear,SplitCP,RLM,-1.6839851019497454
0.99,3.6308354055037704,3.399101972579956,Linear,RO-StabCP,RLM,0.5313641935517225
0.99,3.6302852223670135,0.032045841217041016,Linear,LOO-StabCP,RLM,-1.4942283235143397
0.85,3.296193896723227,3.799929141998291,Linear,OracleCP,RLM,0.5797754983204796
0.84,3.293222487337073,173.90372514724731,Linear,FullCP,RLM,2.2403088850134445
0.87,3.574258860447645,0.011739730834960938,Linear,SplitCP,RLM,-1.9303418603483076
0.86,3.443657980743188,3.1839218139648438,Linear,RO-StabCP,RLM,0.5029623944360634
0.86,3.4433786419908508,0.032804012298583984,Linear,LOO-StabCP,RLM,-1.4840730339540036
0.85,3.4275744641053425,3.495204210281372,Linear,OracleCP,RLM,0.5434725548477887
0.85,3.458994750998695,171.84669518470764,Linear,FullCP,RLM,2.2351411845567704
0.87,3.685106077814982,0.01460409164428711,Linear,SplitCP,RLM,-1.8355254504084708
0.85,3.5865034722291878,3.4419519901275635,Linear,RO-StabCP,RLM,0.5368048083017998
0.85,3.586532362275565,0.03813982009887695,Linear,LOO-StabCP,RLM,-1.4186213598020554
0.82,3.388777543472782,4.049787998199463,Linear,OracleCP,RLM,0.6074322889870151
0.82,3.328762191567265,222.02819919586182,Linear,FullCP,RLM,2.3464081365110463
0.82,3.4574662848516424,0.03949475288391113,Linear,SplitCP,RLM,-1.4034605991819533
0.82,3.4926243822842324,3.8227698802948,Linear,RO-StabCP,RLM,0.5823781555324661
0.82,3.493154746538392,0.06592106819152832,Linear,LOO-StabCP,RLM,-1.1809757639030565
0.87,2.939386241704098,3.616675853729248,Linear,OracleCP,RLM,0.5583095866590378
0.86,2.939759708378755,232.68421983718872,Linear,FullCP,RLM,2.366766931331365
0.96,4.126540592873486,0.024298906326293945,Linear,SplitCP,RLM,-1.614413273197759
0.88,3.1171776038248256,3.716639995574951,Linear,RO-StabCP,RLM,0.5701504961220455
0.88,3.116160717874174,0.044895172119140625,Linear,LOO-StabCP,RLM,-1.3478003591024632
0.82,3.0621120842306864,3.460050106048584,Linear,OracleCP,RLM,0.5390823879901312
0.79,3.0322334414916066,216.98552775382996,Linear,FullCP,RLM,2.3364307687506045
0.78,3.0068705274408463,0.027770280838012695,Linear,SplitCP,RLM,-1.5564197282518129
0.82,3.1754251407110035,3.6843841075897217,Linear,RO-StabCP,RLM,0.5663649003279759
0.82,3.175883268484468,0.0721900463104248,Linear,LOO-StabCP,RLM,-1.1415226795835913
0.91,3.248222295118968,3.765432834625244,Linear,OracleCP,RLM,0.5758149053401551
0.91,3.3361584823158164,236.3027720451355,Linear,FullCP,RLM,2.37346881632913
0.9,3.2506761723933657,0.017170190811157227,Linear,SplitCP,RLM,-1.7652248785273645
0.92,3.4688831315413116,3.940096139907837,Linear,RO-StabCP,RLM,0.5955068189123927
0.92,3.4690694016662,0.04527902603149414,Linear,LOO-StabCP,RLM,-1.3441029235533746
0.88,3.432066567764682,3.736269235610962,Linear,OracleCP,RLM,0.5724381639518382
0.88,3.4889452280313678,214.00125813484192,Linear,FullCP,RLM,2.3304163266174767
0.81,3.053677046470192,0.01538705825805664,Linear,SplitCP,RLM,-1.8128444018976524
0.9,3.6085960255823397,3.659006357192993,Linear,RO-StabCP,RLM,0.5633631640346913
0.9,3.6079898343206747,0.04413270950317383,Linear,LOO-StabCP,RLM,-1.355239408465922
0.97,3.565977614721642,4.206236839294434,Linear,OracleCP,RLM,0.6238937227256753
0.96,3.478744151586758,249.89939188957214,Linear,FullCP,RLM,2.397765199306424
0.98,4.330280576716696,0.023106098175048828,Linear,SplitCP,RLM,-1.6362733857243712
0.97,3.670177931165008,4.235644817352295,Linear,RO-StabCP,RLM,0.626919534926639
0.97,3.670090345755479,0.04105210304260254,Linear,LOO-StabCP,RLM,-1.3866645896674996
0.96,3.1991209686582742,3.67260479927063,Linear,OracleCP,RLM,0.5649741974086683
0.96,3.2464899610262643,208.51335310935974,Linear,FullCP,RLM,2.319133872240321
0.97,3.6798522889371403,0.014603137969970703,Linear,SplitCP,RLM,-1.8355538115710162
0.97,3.343356520843655,3.842005968093872,Linear,RO-StabCP,RLM,0.5845580351504075
0.97,3.3432692340779977,0.0480647087097168,Linear,LOO-StabCP,RLM,-1.3181736853324733
0.89,3.145464527513052,4.833138942718506,Linear,OracleCP,RLM,0.6842292803837771
0.88,3.280431305669712,198.18348908424377,Linear,FullCP,RLM,2.297067470036786
0.89,3.335165527927498,0.022037029266357422,Linear,SplitCP,RLM,-1.6568469515709832
0.9,3.3814844366812133,3.7086760997772217,Linear,RO-StabCP,RLM,0.5692189055254445
0.9,3.3805934955172323,0.027857065200805664,Linear,LOO-StabCP,RLM,-1.5550646393202525
0.87,3.189993922983387,3.566527843475342,Linear,OracleCP,RLM,0.5522456188573319
0.86,3.1693602358007977,209.2032778263092,Linear,FullCP,RLM,2.320568484835421
0.93,3.835414639132604,0.0178530216217041,Linear,SplitCP,RLM,-1.7482882690433763
0.88,3.3058958932155544,3.831164836883545,Linear,RO-StabCP,RLM,0.5833308380203721
0.88,3.3051889853828693,0.07039999961853027,Linear,LOO-StabCP,RLM,-1.1524273432111576
0.96,3.3140490556155133,3.6587400436401367,Linear,OracleCP,RLM,0.5633315536179927
0.93,3.235258257204387,221.68766903877258,Linear,FullCP,RLM,2.3457415369694576
0.96,3.6609886967916583,0.011553049087524414,Linear,SplitCP,RLM,-1.9373033813883522
0.96,3.411236971910816,3.509830951690674,Linear,RO-StabCP,RLM,0.5452861995097222
0.96,3.4112253372135415,0.05412602424621582,Linear,LOO-StabCP,RLM,-1.2665938722502026
0.86,3.067604955722496,3.6343348026275635,Linear,OracleCP,RLM,0.560424932943413
0.86,2.980653942009959,241.9026837348938,Linear,FullCP,RLM,2.3836406865710154
0.85,2.871324953262291,0.0161590576171875,Linear,SplitCP,RLM,-1.7915839705162142
0.87,3.1511262034334995,3.7502548694610596,Linear,RO-StabCP,RLM,0.5740607836315149
0.87,3.1505991792455132,0.040644168853759766,Linear,LOO-StabCP,RLM,-1.3910017530536412
0.95,3.624691263107958,3.7645058631896973,Linear,OracleCP,RLM,0.5757079778876141
0.95,3.8425672510042608,186.50123190879822,Linear,FullCP,RLM,2.2706817048279575
0.94,3.6007083085522513,0.02573704719543457,Linear,SplitCP,RLM,-1.5894412810637237
0.95,3.96875262974865,4.113295793533325,Linear,RO-StabCP,RLM,0.6141899414275465
0.95,3.969109762596533,0.02349996566772461,Linear,LOO-StabCP,RLM,-1.6289327722103337
0.86,2.9398212359626847,4.389449834823608,Linear,OracleCP,RLM,0.642410090020399
0.86,3.006290520194319,214.89989304542542,Linear,FullCP,RLM,2.332236199345361
0.85,2.9193326198789147,0.01616501808166504,Linear,SplitCP,RLM,-1.791423805264429
0.87,3.120100951555898,3.7971599102020264,Linear,RO-StabCP,RLM,0.579458887014957
0.87,3.119291247763933,0.029124021530151367,Linear,LOO-StabCP,RLM,-1.5357486565648686
0.9,3.4355754627631745,3.787506103515625,Linear,OracleCP,RLM,0.5783533413706968
0.88,3.3414918173178516,218.16320395469666,Linear,FullCP,RLM,2.3387815030488444
0.93,3.824064411342925,0.014786005020141602,Linear,SplitCP,RLM,-1.8301491506868968
0.9,3.522529727308748,3.8274648189544678,Linear,RO-StabCP,RLM,0.5829112074684928
0.9,3.522161827397223,0.04882001876831055,Linear,LOO-StabCP,RLM,-1.3114020579591388
0.93,3.5180411038680166,3.4033122062683105,Linear,OracleCP,RLM,0.5319017913644356
0.93,3.529902289503415,192.094162940979,Linear,FullCP,RLM,2.283514168396114
0.93,3.7937060273656655,0.018715858459472656,Linear,SplitCP,RLM,-1.7277902478623337
0.93,3.6318144223313142,3.6187820434570312,Linear,RO-StabCP,RLM,0.5585624266632093
0.93,3.6310988796565713,0.041269540786743164,Linear,LOO-StabCP,RLM,-1.3843703635648672
0.91,2.9719829221898357,3.8291966915130615,Linear,OracleCP,RLM,0.5831076750039469
0.91,2.9969037460975856,203.6561460494995,Linear,FullCP,RLM,2.308897521002456
0.94,3.314994963600403,0.012042999267578125,Linear,SplitCP,RLM,-1.9192653400594442
0.92,3.1084349387698302,4.227662086486816,Linear,RO-StabCP,RLM,0.6261002672259891
0.92,3.1085019722659655,0.04622507095336914,Linear,LOO-StabCP,RLM,-1.3351224135461168
0.88,3.0942530626937113,3.792130947113037,Linear,OracleCP,RLM,0.5788833256667438
0.85,3.0903497567986595,217.20943880081177,Linear,FullCP,RLM,2.3368786935228942
0.9,3.5537155440094734,0.012534141540527344,Linear,SplitCP,RLM,-1.901905405381786
0.88,3.220435505707764,3.833244800567627,Linear,RO-StabCP,RLM,0.5835665552681344
0.88,3.220596349533754,0.04775094985961914,Linear,LOO-StabCP,RLM,-1.3210179850291721
0.85,3.07410822099492,3.747145891189575,Linear,OracleCP,RLM,0.5737006022224749
0.85,3.057493282406915,212.59858012199402,Linear,FullCP,RLM,2.3275603596828462
0.88,3.338560554731673,0.013629913330078125,Linear,SplitCP,RLM,-1.8655069057492215
0.85,3.160444507128078,3.6481993198394775,Linear,RO-StabCP,RLM,0.5620785580395122
0.85,3.1604192310121495,0.03189396858215332,Linear,LOO-StabCP,RLM,-1.4962914379192964
0.92,3.1123917294254824,3.898899793624878,Linear,OracleCP,RLM,0.5909420734452291
0.92,3.132189233500768,238.16835117340088,Linear,FullCP,RLM,2.376884050077273
0.92,3.3552220278587574,0.03428006172180176,Linear,SplitCP,RLM,-1.464958404793945
0.92,3.2434742236573824,4.110882043838501,Linear,RO-StabCP,RLM,0.6139350154704512
0.92,3.243282140542407,0.03872203826904297,Linear,LOO-StabCP,RLM,-1.4120417901627256
0.92,3.4734311450517708,3.9861817359924316,Linear,OracleCP,RLM,0.6005570949513855
0.92,3.473077689985509,188.84836101531982,Linear,FullCP,RLM,2.276113220007646
0.93,3.7133732189866726,0.015133142471313477,Linear,SplitCP,RLM,-1.8200708792311537
0.93,3.618298363280241,3.370203971862793,Linear,RO-StabCP,RLM,0.52765618608611
